time,r_gripper_vel_norm
0.000000000000000000e+00,2.429953526016944685e-06
1.000000000000000021e-03,2.412651147134622226e-03
2.000000000000000042e-03,4.651990525815960162e-03
3.000000000000000062e-03,6.738393418879712674e-03
4.000000000000000083e-03,8.673596209431186366e-03
5.000000000000000104e-03,1.045987220523477215e-02
6.000000000000000125e-03,1.210016810028775175e-02
7.000000000000000146e-03,1.359805277540725513e-02
8.000000000000000167e-03,1.495769527817865201e-02
9.000000000000001055e-03,1.618380579503354844e-02
1.000000000000000021e-02,1.728159556991296780e-02
1.099999999999999936e-02,1.825669251480896427e-02
1.200000000000000025e-02,1.911508963894852434e-02
1.300000000000000114e-02,1.986305053447573118e-02
1.400000000000000029e-02,2.050705217017464652e-02
1.499999999999999944e-02,2.105370437395182731e-02
1.600000000000000033e-02,2.150969648529892780e-02
1.700000000000000122e-02,2.188174363334234943e-02
1.800000000000000211e-02,2.217654126640909024e-02
1.899999999999999953e-02,2.240072441562815375e-02
2.000000000000000042e-02,2.256084531919123198e-02
2.100000000000000130e-02,2.190947941983264688e-02
2.199999999999999872e-02,2.119858957587002560e-02
2.299999999999999961e-02,2.019239223792852062e-02
2.400000000000000050e-02,1.873979306434513450e-02
2.500000000000000139e-02,1.676411563541215996e-02
2.600000000000000228e-02,1.426486764736923686e-02
2.699999999999999969e-02,1.134899704331912909e-02
2.800000000000000058e-02,8.371799891723770426e-03
2.900000000000000147e-02,6.461334523380811781e-03
2.999999999999999889e-02,7.599909146239109542e-03
3.099999999999999978e-02,1.140107445263619478e-02
3.200000000000000067e-02,1.633015930310559999e-02
3.300000000000000155e-02,2.170800624306050766e-02
3.400000000000000244e-02,2.722892470820105493e-02
3.500000000000000333e-02,3.269361117862215615e-02
3.600000000000000422e-02,3.793767820337749785e-02
3.699999999999999817e-02,4.281081177969937868e-02
3.799999999999999906e-02,4.716996001532207383e-02
3.899999999999999994e-02,5.087703989592036458e-02
4.000000000000000083e-02,5.379827382398681690e-02
4.100000000000000172e-02,5.582885815799275286e-02
4.200000000000000261e-02,5.709974198133233037e-02
4.300000000000000350e-02,5.800290580589503170e-02
4.399999999999999745e-02,5.882930680425577791e-02
4.499999999999999833e-02,5.978702564934249702e-02
4.599999999999999922e-02,6.101535254967397487e-02
4.700000000000000011e-02,6.259677631588253521e-02
4.800000000000000100e-02,6.456707912680433037e-02
4.900000000000000189e-02,6.692390946429362109e-02
5.000000000000000278e-02,6.963383327942253287e-02
5.100000000000000366e-02,7.263834557599319064e-02
5.200000000000000455e-02,7.585892324700702072e-02
5.299999999999999850e-02,7.920138084424181713e-02
5.399999999999999939e-02,8.255955904959758063e-02
