time,r_gripper_vel_norm
0.000000000000000000e+00,4.175672291814605628e-07
1.000000000000000021e-03,2.521592546045966707e-03
2.000000000000000042e-03,4.838591370153444947e-03
3.000000000000000062e-03,6.975469827653894839e-03
4.000000000000000083e-03,8.937799667667202519e-03
5.000000000000000104e-03,1.073126969099445251e-02
6.000000000000000125e-03,1.236207932671149791e-02
7.000000000000000146e-03,1.383678850498103012e-02
8.000000000000000167e-03,1.516227926377468511e-02
9.000000000000001055e-03,1.634570685728016851e-02
1.000000000000000021e-02,1.739445137606433420e-02
1.099999999999999936e-02,1.831607614965852920e-02
1.200000000000000025e-02,1.911826149417250251e-02
1.300000000000000114e-02,1.980875882304085692e-02
1.400000000000000029e-02,2.039532738469938475e-02
1.499999999999999944e-02,2.088568480154914114e-02
1.600000000000000033e-02,2.128745617615361574e-02
1.700000000000000122e-02,2.160813815467533400e-02
1.800000000000000211e-02,2.185506182606577336e-02
1.899999999999999953e-02,2.203537267673569625e-02
2.000000000000000042e-02,2.215600510764580838e-02
2.100000000000000130e-02,2.194447850069494374e-02
2.199999999999999872e-02,2.162658267914607454e-02
2.299999999999999961e-02,2.104787177866519060e-02
2.400000000000000050e-02,2.013137899264603320e-02
2.500000000000000139e-02,1.887908642650326999e-02
2.600000000000000228e-02,1.738715493477079738e-02
2.699999999999999969e-02,1.587825066879631347e-02
2.800000000000000058e-02,1.474117900210649389e-02
2.900000000000000147e-02,1.450315815839057186e-02
2.999999999999999889e-02,1.559805680222652383e-02
3.099999999999999978e-02,1.806684772163711511e-02
3.200000000000000067e-02,2.160574453140837181e-02
3.300000000000000155e-02,2.583566994562222843e-02
3.400000000000000244e-02,3.043937708084123311e-02
3.500000000000000333e-02,3.516984614917913893e-02
3.600000000000000422e-02,3.982756446443438264e-02
3.699999999999999817e-02,4.424192699389875583e-02
3.799999999999999906e-02,4.826024596093416580e-02
3.899999999999999994e-02,5.174185185103154921e-02
4.000000000000000083e-02,5.455515693349033413e-02
4.100000000000000172e-02,5.660496838405947723e-02
4.200000000000000261e-02,5.798227466218954657e-02
4.300000000000000350e-02,5.901399353737780268e-02
4.399999999999999745e-02,5.994388721314115182e-02
4.499999999999999833e-02,6.094949491469578429e-02
4.599999999999999922e-02,6.215352355485879998e-02
4.700000000000000011e-02,6.363344334386926426e-02
4.800000000000000100e-02,6.542931774893788466e-02
4.900000000000000189e-02,6.754961153823467457e-02
5.000000000000000278e-02,6.997518597717489186e-02
5.100000000000000366e-02,7.266390354948540353e-02
5.200000000000000455e-02,7.555362489177860907e-02
5.299999999999999850e-02,7.856583700510964829e-02
5.399999999999999939e-02,8.160892360960154968e-02
5.500000000000000028e-02,8.458120351998700548e-02
5.600000000000000117e-02,8.737363981475018693e-02
5.700000000000000205e-02,8.987229278747754790e-02
5.800000000000000294e-02,9.196036123689728392e-02
